"ZIP","Group","GroupName","Unique"
"10302",5,2,502
"10303",5,2,502
"10310",5,2,502
"10306",5,3,503
"10307",5,3,503
"10308",5,3,503
"10309",5,3,503
"10312",5,3,503
"10301",5,4,504
"10304",5,4,504
"10305",5,4,504
"10314",5,1,501
"11361",4,4,404
"11362",4,4,404
"11363",4,4,404
"11364",4,4,404
"11354",4,3,403
"11355",4,3,403
"11356",4,3,403
"11357",4,3,403
"11358",4,3,403
"11359",4,3,403
"11360",4,3,403
"11365",4,1,401
"11366",4,1,401
"11367",4,1,401
"11412",4,2,402
"11423",4,2,402
"11432",4,2,402
"11433",4,2,402
"11434",4,2,402
"11435",4,2,402
"11436",4,2,402
"11101",4,5,405
"11102",4,5,405
"11103",4,5,405
"11104",4,5,405
"11105",4,5,405
"11106",4,5,405
"11374",4,9,409
"11375",4,9,409
"11379",4,9,409
"11385",4,9,409
"11691",4,6,406
"11692",4,6,406
"11693",4,6,406
"11694",4,6,406
"11695",4,6,406
"11697",4,6,406
"11004",4,7,407
"11005",4,7,407
"11411",4,7,407
"11413",4,7,407
"11422",4,7,407
"11426",4,7,407
"11427",4,7,407
"11428",4,7,407
"11429",4,7,407
"11414",4,8,408
"11415",4,8,408
"11416",4,8,408
"11417",4,8,408
"11418",4,8,408
"11419",4,8,408
"11420",4,8,408
"11421",4,8,408
"11368",4,10,410
"11369",4,10,410
"11370",4,10,410
"11372",4,10,410
"11373",4,10,410
"11377",4,10,410
"11378",4,10,410
"11212",2,4,204
"11213",2,4,204
"11216",2,4,204
"11233",2,4,204
"11238",2,4,204
"11209",2,10,210
"11214",2,10,210
"11228",2,10,210
"11204",2,1,201
"11218",2,1,201
"11219",2,1,201
"11230",2,1,201
"11234",2,3,203
"11236",2,3,203
"11239",2,3,203
"11223",2,9,209
"11224",2,9,209
"11229",2,9,209
"11235",2,9,209
"11201",2,8,208
"11205",2,8,208
"11215",2,8,208
"11217",2,8,208
"11231",2,8,208
"11203",2,6,206
"11210",2,6,206
"11225",2,6,206
"11226",2,6,206
"11207",2,5,205
"11208",2,5,205
"11211",2,7,207
"11222",2,7,207
"11220",2,11,211
"11232",2,11,211
"11206",2,2,202
"11221",2,2,202
"11237",2,2,202
"10453",1,2,102
"10457",1,2,102
"10460",1,2,102
"10458",1,1,101
"10467",1,1,101
"10468",1,1,101
"10451",1,3,103
"10452",1,3,103
"10456",1,3,103
"10454",1,4,104
"10455",1,4,104
"10459",1,4,104
"10474",1,4,104
"10463",1,5,105
"10471",1,5,105
"10466",1,6,106
"10469",1,6,106
"10470",1,6,106
"10475",1,6,106
"10461",1,7,107
"10462",1,7,107
"10464",1,7,107
"10465",1,7,107
"10472",1,7,107
"10473",1,7,107
"10026",3,1,301
"10027",3,1,301
"10030",3,1,301
"10037",3,1,301
"10039",3,1,301
"10001",3,2,302
"10011",3,2,302
"10018",3,2,302
"10019",3,2,302
"10020",3,2,302
"10036",3,2,302
"10029",3,3,303
"10035",3,3,303
"10010",3,4,304
"10016",3,4,304
"10017",3,4,304
"10022",3,4,304
"10012",3,5,305
"10013",3,5,305
"10014",3,5,305
"10004",3,8,308
"10005",3,8,308
"10006",3,8,308
"10007",3,8,308
"10038",3,8,308
"10280",3,8,308
"10002",3,7,307
"10003",3,7,307
"10009",3,7,307
"10021",3,9,309
"10028",3,9,309
"10044",3,9,309
"10065",3,9,309
"10075",3,9,309
"10128",3,9,309
"10023",3,10,310
"10024",3,10,310
"10025",3,10,310
"10031",3,6,306
"10032",3,6,306
"10033",3,6,306
"10034",3,6,306
"10040",3,6,306
